,mu_en/rou,Energy,mu/rou
0,0.001,654.2,652.2
1,0.00103542,596.0,594.1
2,0.0010721,542.9,541.0
3,0.0010721,6435.0,6320.0
4,0.0015,3194.0,3151.0
5,0.002,1521.0,1504.0
6,0.003,507.0,502.3
7,0.004,226.1,223.8
8,0.005,119.4,117.8
9,0.006,70.3,69.15
10,0.008,30.18,29.41
11,0.01,15.57,14.99
12,0.015,4.694,4.313
13,0.02,2.057,1.7590000000000001
14,0.03,0.7197,0.4928
15,0.04,0.3969,0.2031
16,0.05,0.2804,0.1063
17,0.06,0.2268,0.06625
18,0.08,0.1796,0.037610000000000005
19,0.1,0.1585,0.029310000000000003
20,0.15,0.1335,0.025789999999999997
21,0.2,0.1199,0.02635
22,0.3,0.1029,0.027710000000000002
23,0.4,0.09185,0.02833
24,0.5,0.08372,0.02845
25,0.6,0.07736,0.0283
26,0.8,0.06788,0.0276
27,1.0,0.061,0.02669
28,1.25,0.05454,0.025490000000000002
29,1.5,0.04968,0.02437
30,2.0,0.04282,0.02249
31,3.0,0.03487,0.019969999999999998
32,4.0,0.030369999999999998,0.01842
33,5.0,0.027530000000000002,0.01743
34,6.0,0.02559,0.01675
35,8.0,0.023190000000000002,0.01595
36,10.0,0.02181,0.015519999999999999
37,15.0,0.02023,0.015080000000000001
38,20.0,0.0197,0.01496
